entered training run...


============================================
Discrete Steps until Terminal State: 1000
Continuous Steps until Terminal State: 1000
3.7.2 | packaged by conda-forge | (default, Mar 20 2019, 01:46:52) 
[GCC 7.3.0]
/lustre/fs1/home/amckinney/neuroSym/Local_Neuro_Symbolic
Bounding Persist: <class 'bool'>, True
Bounding Distance: <class 'int'>, 3
Terminal Reward: <class 'int'>, 10
Sequence Level: <class 'int'>, 2
Dungeon Quest LTLF: F(dragon) & (!sword U key) & (!dragon U sword)
============================================


imported all dependencies, checking for cuda

==============
Cuda detected!
==============

Done with DFA conversion
[<discrete.lib.automaton.mine_aps.MineInventoryAP object at 0x150e69e35a20>, <discrete.lib.automaton.mine_aps.MineInventoryAP object at 0x150e69e35a58>, <discrete.lib.automaton.mine_aps.MineInfoAutAP object at 0x150e69e35a90>]


============================================
Training Teacher / Independent DDPG Agent
Max Training Steps: 250000
LTLF: F(dragon) & (!sword U key) & (!dragon U sword)
============================================


Starting training at: 2024-08-17 10:06:52
Env Config: EnvConfig(env_name='MineWorldEnv-v1', kwargs={'config': <discrete.lib.env.mineworldenv.MineWorldConfig object at 0x150e69e35940>}, wrapper_cls=<class 'discrete.lib.env.rew_every_step.RewEveryStep'>, wrapper_kwargs={'rew_per_step': -0.1})

Env Name: MineWorldEnv-v1
Observation Space: Box(16,)
Automaton Num States: 5
Action Space: Box(1,)
Agent Name: TD3 Agent
NOT Loading from checkpoint
Actor Learning Rate: 0.0003
Critic Learning Rate: 0.0003
Completed Steps:     1000 || Avg Steps: 1000 || Avg Rew: -192.308
Completed Steps:     2000 || Avg Steps:  950 || Avg Rew: -181.979
Completed Steps:     3000 || Avg Steps:  904 || Avg Rew: -171.519
Completed Steps:     4000 || Avg Steps:  928 || Avg Rew: -176.821
Completed Steps:     5000 || Avg Steps:  942 || Avg Rew: -176.214
Completed Steps:     6000 || Avg Steps:  936 || Avg Rew: -176.086
Completed Steps:     7000 || Avg Steps:  945 || Avg Rew: -177.861
Completed Steps:     8000 || Avg Steps:  952 || Avg Rew: -179.742
Completed Steps:     9000 || Avg Steps:  957 || Avg Rew: -181.305
Completed Steps:    10000 || Avg Steps:  951 || Avg Rew: -180.504
Completed Steps:    11000 || Avg Steps:  961 || Avg Rew: -182.440
Completed Steps:    12000 || Avg Steps:  971 || Avg Rew: -184.959
Completed Steps:    13000 || Avg Steps:  980 || Avg Rew: -187.147
Completed Steps:    14000 || Avg Steps:  980 || Avg Rew: -187.364
Completed Steps:    15000 || Avg Steps:  990 || Avg Rew: -191.577
Completed Steps:    16000 || Avg Steps:  990 || Avg Rew: -191.951
Completed Steps:    17000 || Avg Steps:  980 || Avg Rew: -190.284
Completed Steps:    18000 || Avg Steps:  970 || Avg Rew: -188.296
Completed Steps:    19000 || Avg Steps:  970 || Avg Rew: -187.700
Completed Steps:    20000 || Avg Steps:  980 || Avg Rew: -189.811
Completed Steps:    21000 || Avg Steps:  980 || Avg Rew: -190.152
Completed Steps:    22000 || Avg Steps:  980 || Avg Rew: -190.246
Completed Steps:    23000 || Avg Steps:  980 || Avg Rew: -190.506
Completed Steps:    24000 || Avg Steps:  980 || Avg Rew: -190.331
Completed Steps:    25000 || Avg Steps:  980 || Avg Rew: -190.493
Completed Steps:    26000 || Avg Steps:  980 || Avg Rew: -190.393
Completed Steps:    27000 || Avg Steps:  990 || Avg Rew: -192.421
Completed Steps:    28000 || Avg Steps: 1000 || Avg Rew: -194.603
Completed Steps:    29000 || Avg Steps: 1000 || Avg Rew: -195.258
Completed Steps:    30000 || Avg Steps: 1000 || Avg Rew: -195.384
Completed Steps:    31000 || Avg Steps: 1000 || Avg Rew: -195.235
Completed Steps:    32000 || Avg Steps: 1000 || Avg Rew: -195.280
Completed Steps:    33000 || Avg Steps: 1000 || Avg Rew: -194.857
Completed Steps:    34000 || Avg Steps: 1000 || Avg Rew: -194.407
Completed Steps:    35000 || Avg Steps: 1000 || Avg Rew: -194.217
Completed Steps:    36000 || Avg Steps: 1000 || Avg Rew: -194.161
Completed Steps:    37000 || Avg Steps: 1000 || Avg Rew: -194.313
Completed Steps:    38000 || Avg Steps: 1000 || Avg Rew: -194.379
Completed Steps:    39000 || Avg Steps: 1000 || Avg Rew: -194.428
Completed Steps:    40000 || Avg Steps:  990 || Avg Rew: -192.182
Completed Steps:    41000 || Avg Steps:  990 || Avg Rew: -192.303
Completed Steps:    42000 || Avg Steps:  990 || Avg Rew: -192.289
Completed Steps:    43000 || Avg Steps:  990 || Avg Rew: -192.613
Completed Steps:    44000 || Avg Steps:  990 || Avg Rew: -192.469
Completed Steps:    45000 || Avg Steps:  990 || Avg Rew: -192.332
Completed Steps:    46000 || Avg Steps:  980 || Avg Rew: -189.042
Completed Steps:    47000 || Avg Steps:  980 || Avg Rew: -187.779
Completed Steps:    48000 || Avg Steps:  980 || Avg Rew: -187.667
Completed Steps:    49000 || Avg Steps:  980 || Avg Rew: -186.483
Completed Steps:    50000 || Avg Steps:  990 || Avg Rew: -188.441
Completed Steps:    51000 || Avg Steps:  980 || Avg Rew: -186.039
