wall_time,step,experience_generation/episode_rew
1729577803.86589, 999.00000,-160.00909
1729577843.39866,1999.00000,-195.57823
1729577882.30729,2999.00000,-195.36819
1729577923.23992,3999.00000,-155.22887
1729577964.06013,4999.00000,-131.21898
1729578004.91248,5999.00000,-111.01910
1729578045.53049,6999.00000, -99.77906
1729578086.46246,7999.00000, -99.40905
1729578127.28103,8999.00000, -99.36905
1729578167.87669,9999.00000, -98.77906
1729578208.55139,10999.00000, -99.12905
1729578249.38575,11999.00000,-100.55907
1729578289.90354,12999.00000,-100.89905
1729578329.74244,13999.00000,-102.14904
1729578370.27164,14999.00000,-100.22905
1729578410.96917,15999.00000,-103.57904
1729578451.47028,16999.00000,-100.24907
1729578491.43865,17999.00000, -99.58907
1729578532.17106,18999.00000,-100.98905
1729578572.82323,19999.00000,-124.09889
1729578613.49927,20999.00000,-135.50945
1729578628.22983,21433.00000,  53.50007
1729578653.28435,21999.00000,-173.88745
1729578668.31874,22433.00000,-199.49811
1729578692.59351,22999.00000,-198.00923
1729578707.75381,23433.00000,-199.89810
1729578732.18305,23999.00000,-197.10936
1729578746.96785,24433.00000,-199.59811
1729578771.76684,24999.00000,-174.26505
1729578786.50661,25433.00000,-198.59819
1729578810.85231,25999.00000,-175.27748
1729578826.16166,26433.00000,-178.69902
1729578850.42577,26999.00000,-137.22098
1729578865.21185,27433.00000,-163.89888
1729578889.73956,27999.00000,-159.35423
1729578904.64642,28433.00000,-163.09883
1729578928.92777,28999.00000,-154.94302
1729578944.05091,29433.00000,-139.59906
1729578968.71640,29999.00000,-150.62085
1729578983.94015,30433.00000,-111.89906
1729579008.52311,30999.00000,-160.44295
1729579023.37654,31433.00000,-186.49838
1729579035.68751,31790.00000, -27.99914
1729579047.98841,31999.00000,-166.91098
1729579062.78805,32433.00000,-188.39827
1729579075.19290,32790.00000,-198.29813
1729579087.23430,32999.00000,-187.04822
1729579102.33447,33433.00000,-182.99838
1729579114.60351,33790.00000,-113.89901
1729579126.97364,33999.00000,-170.02350
1729579142.14321,34433.00000,-156.89859
1729579154.31136,34790.00000,-198.39812
1729579166.65209,34999.00000,-183.26077
1729579181.45803,35433.00000,-183.69833
1729579193.94081,35790.00000,-193.59822
1729579205.58513,35999.00000,-173.89894
1729579220.53320,36433.00000,-103.49905
1729579233.09553,36790.00000,-175.49861
1729579245.20833,36999.00000,-148.57367
1729579260.31663,37433.00000,-132.59885
1729579272.60404,37790.00000,-193.39821
1729579285.00129,37999.00000,-163.46107
1729579299.80683,38433.00000,-101.69906
1729579312.37282,38790.00000,-100.09904
1729579324.72068,38999.00000,-158.42372
1729579339.65062,39433.00000, -99.99905
1729579352.19546,39790.00000,-145.89857
1729579364.06764,39999.00000,-163.92349
1729579379.30083,40433.00000,-158.89882
1729579391.62057,40790.00000,-141.59854
1729579403.97796,40999.00000,-144.13617
1729579419.05552,41433.00000,-154.49907
1729579431.29780,41790.00000,-192.39821
1729579443.20680,41999.00000,-162.29860
1729579458.20023,42433.00000,-194.49817
1729579470.83714,42790.00000,-188.59828
1729579482.75150,42999.00000,-141.36122
1729579490.84367,43243.00000,  77.89996
1729579497.87068,43433.00000,-125.49866
1729579510.47838,43790.00000,-197.19814
1729579521.53360,43999.00000,-152.18448
1729579530.41865,44243.00000,-147.09991
1729579537.45429,44433.00000,-199.59811
1729579549.68164,44790.00000,-120.79896
1729579561.08027,44999.00000,-170.45576
1729579569.95438,45243.00000,-199.59810
1729579576.77150,45433.00000,-198.79811
1729579589.26060,45790.00000,-199.49812
1729579600.70600,45999.00000,-188.15538
1729579609.35818,46243.00000,-106.59901
1729579616.34493,46433.00000,-199.59810
1729579628.96766,46790.00000,-199.69810
1729579639.78061,46999.00000,-184.22710
1729579648.66529,47243.00000,-185.49940
1729579655.66947,47433.00000,-196.99815
1729579667.59911,47790.00000,-161.39938
1729579679.14483,47999.00000,-142.27045
1729579688.01128,48243.00000,-133.09926
1729579695.03383,48433.00000,-104.89899
1729579707.18009,48790.00000,-137.59894
1729579718.80580,48999.00000,-146.78458
1729579727.79296,49243.00000,-167.39954
1729579734.45676,49433.00000,-160.59894
1729579746.88436,49790.00000,-187.69830
1729579758.54842,49999.00000,-149.19885
1729579767.17335,50243.00000,-186.39830
1729579774.22803,50433.00000,-170.69855
1729579786.77879,50790.00000,-151.29924
1729579798.12624,50999.00000,-170.54138
1729579807.05737,51243.00000,-102.99900
1729579814.07316,51433.00000,-175.69896
1729579826.12852,51790.00000,-123.69894
1729579837.84227,51999.00000,-168.71292
1729579846.77920,52243.00000,-166.69893
1729579853.41256,52433.00000,-144.49896
1729579865.84209,52790.00000,-185.69847
1729579877.57193,52999.00000,-185.95575
1729579886.13050,53243.00000,-185.39900
1729579892.98818,53433.00000, -99.09906
1729579905.58127,53790.00000,-133.79935
1729579916.50862,53999.00000,-154.08481
1729579925.43725,54243.00000,-184.59853
1729579932.30321,54433.00000,-161.89897
1729579944.55784,54790.00000,-139.79913
1729579956.03499,54999.00000,-170.82712
1729579964.81718,55243.00000,-166.10042
1729579971.82597,55433.00000,-131.99901
1729579984.15381,55790.00000,-100.99904
1729579995.83236,55999.00000,-142.65591
