entered training run...


============================================
Discrete Steps until Terminal State: 1000
Continuous Steps until Terminal State: 1000
3.7.2 | packaged by conda-forge | (default, Mar 20 2019, 01:46:52) 
[GCC 7.3.0]
/lustre/fs1/home/amckinney/Local_Neuro_Symbolic
Bounding Persist: <class 'bool'>, True
Bounding Distance: <class 'int'>, 3
Terminal Reward: <class 'int'>, 10
Sequence Level: <class 'int'>, 1
Dungeon Quest LTLF: F(sword) & (!sword U key)
============================================


imported all dependencies, checking for cuda

==============
Cuda detected!
==============

Done with DFA conversion
[<discrete.lib.automaton.mine_aps.MineInventoryAP object at 0x2b171000cbe0>, <discrete.lib.automaton.mine_aps.MineInventoryAP object at 0x2b171000cc18>]


============================================
Training Teacher / Independent DDPG Agent
Max Training Steps: 1000000
LTLF: F(sword) & (!sword U key)
============================================


Starting training at: 2024-07-23 22:23:07
Env Config: EnvConfig(env_name='MineWorldEnv-v1', kwargs={'config': <discrete.lib.env.mineworldenv.MineWorldConfig object at 0x2b171000cb70>}, wrapper_cls=<class 'discrete.lib.env.rew_every_step.RewEveryStep'>, wrapper_kwargs={'rew_per_step': -0.1})

Env Name: MineWorldEnv-v1
Observation Space: Box(13,)
Automaton Num States: 4
Action Space: Box(1,)
input shape: (13,)
Agent Name: DDPG Agent
NOT Loading from checkpoint
input shape: (13,)
input shape: (13,)
Actor Learning Rate: 0.0001
Critic Learning Rate: 0.001
Completed Steps:     1000 || Avg Steps: 1000 || Avg Rew: -0.098
Completed Steps:     2000 || Avg Steps:  944 || Avg Rew: -0.098
Completed Steps:     3000 || Avg Steps:  962 || Avg Rew: -0.100
Completed Steps:     4000 || Avg Steps:  972 || Avg Rew: -0.096
Completed Steps:     5000 || Avg Steps:  977 || Avg Rew: -0.099
Completed Steps:     6000 || Avg Steps:  981 || Avg Rew: -0.098
Completed Steps:     7000 || Avg Steps:  984 || Avg Rew: -0.099
Completed Steps:     8000 || Avg Steps:  986 || Avg Rew: -0.098
Completed Steps:     9000 || Avg Steps:  987 || Avg Rew: -0.099
Completed Steps:    10000 || Avg Steps:  988 || Avg Rew: -0.099
Completed Steps:    11000 || Avg Steps:  989 || Avg Rew: -0.096
Completed Steps:    12000 || Avg Steps:  990 || Avg Rew: -0.098
Completed Steps:    13000 || Avg Steps:  991 || Avg Rew: -0.097
Completed Steps:    14000 || Avg Steps: 1000 || Avg Rew: -0.095
Completed Steps:    15000 || Avg Steps: 1000 || Avg Rew: -0.098
Completed Steps:    16000 || Avg Steps: 1000 || Avg Rew: -0.099
Completed Steps:    17000 || Avg Steps: 1000 || Avg Rew: -0.097
Completed Steps:    18000 || Avg Steps: 1000 || Avg Rew: -0.097
Completed Steps:    19000 || Avg Steps: 1000 || Avg Rew: -0.099
Completed Steps:    20000 || Avg Steps: 1000 || Avg Rew: -0.098
Completed Steps:    21000 || Avg Steps: 1000 || Avg Rew: -0.099
Completed Steps:    22000 || Avg Steps: 1000 || Avg Rew: -0.098
Completed Steps:    23000 || Avg Steps: 1000 || Avg Rew: -0.097
Completed Steps:    24000 || Avg Steps: 1000 || Avg Rew: -0.098
Completed Steps:    25000 || Avg Steps: 1000 || Avg Rew: -0.096
Completed Steps:    26000 || Avg Steps: 1000 || Avg Rew: -0.098
Completed Steps:    27000 || Avg Steps: 1000 || Avg Rew: -0.097
Completed Steps:    28000 || Avg Steps: 1000 || Avg Rew: -0.097
Completed Steps:    29000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:    30000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:    31000 || Avg Steps:  990 || Avg Rew: -0.097
Completed Steps:    32000 || Avg Steps:  990 || Avg Rew: -0.098
Completed Steps:    33000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:    34000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:    35000 || Avg Steps:  990 || Avg Rew: -0.098
Completed Steps:    36000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:    37000 || Avg Steps:  990 || Avg Rew: -0.096
Completed Steps:    38000 || Avg Steps:  980 || Avg Rew: -0.097
Completed Steps:    39000 || Avg Steps:  980 || Avg Rew: -0.099
Completed Steps:    40000 || Avg Steps:  980 || Avg Rew: -0.098
Completed Steps:    41000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:    42000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:    43000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:    44000 || Avg Steps:  990 || Avg Rew: -0.097
Completed Steps:    45000 || Avg Steps:  990 || Avg Rew: -0.097
Completed Steps:    46000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:    47000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:    48000 || Avg Steps:  980 || Avg Rew: -0.098
Completed Steps:    49000 || Avg Steps:  980 || Avg Rew: -0.097
Completed Steps:    50000 || Avg Steps:  980 || Avg Rew: -0.097
Completed Steps:    51000 || Avg Steps:  980 || Avg Rew: -0.100
Completed Steps:    52000 || Avg Steps:  980 || Avg Rew: -0.099
Completed Steps:    53000 || Avg Steps:  980 || Avg Rew: -0.099
Completed Steps:    54000 || Avg Steps:  980 || Avg Rew: -0.099
Completed Steps:    55000 || Avg Steps:  980 || Avg Rew: -0.099
Completed Steps:    56000 || Avg Steps:  980 || Avg Rew: -0.099
Completed Steps:    57000 || Avg Steps:  980 || Avg Rew: -0.100
Completed Steps:    58000 || Avg Steps:  980 || Avg Rew: -0.099
Completed Steps:    59000 || Avg Steps:  980 || Avg Rew: -0.099
Completed Steps:    60000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:    61000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:    62000 || Avg Steps: 1000 || Avg Rew: -0.099
Completed Steps:    63000 || Avg Steps: 1000 || Avg Rew: -0.098
Completed Steps:    64000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:    65000 || Avg Steps: 1000 || Avg Rew: -0.099
