entered training run...


============================================
Discrete Steps until Terminal State: 1000
Continuous Steps until Terminal State: 1000
3.7.2 | packaged by conda-forge | (default, Mar 20 2019, 01:46:52) 
[GCC 7.3.0]
/lustre/fs1/home/amckinney/Local_Neuro_Symbolic
Bounding Persist: <class 'bool'>, True
Bounding Distance: <class 'int'>, 3
Terminal Reward: <class 'int'>, 10
Sequence Level: <class 'int'>, 2
Dungeon Quest LTLF: F(dragon) & (!sword U key) & (!dragon U sword)
============================================


imported all dependencies, checking for cuda

==============
Cuda detected!
==============

Done with DFA conversion
[<discrete.lib.automaton.mine_aps.MineInventoryAP object at 0x2aefd48dd2b0>, <discrete.lib.automaton.mine_aps.MineInventoryAP object at 0x2aefd48dd2e8>, <discrete.lib.automaton.mine_aps.MineInfoAutAP object at 0x2aefd48dd320>]


============================================
Training Teacher / Independent DDPG Agent
Max Training Steps: 400000
LTLF: F(dragon) & (!sword U key) & (!dragon U sword)
============================================


Starting training at: 2024-07-30 16:25:47
Env Config: EnvConfig(env_name='MineWorldEnv-v1', kwargs={'config': <discrete.lib.env.mineworldenv.MineWorldConfig object at 0x2aefd48dd1d0>}, wrapper_cls=<class 'discrete.lib.env.rew_every_step.RewEveryStep'>, wrapper_kwargs={'rew_per_step': -0.1})

Env Name: MineWorldEnv-v1
Observation Space: Box(16,)
Automaton Num States: 5
Action Space: Box(1,)
input shape: (16,)
Agent Name: DDPG Agent
NOT Loading from checkpoint
input shape: (16,)
input shape: (16,)
Actor Learning Rate: 0.0001
Critic Learning Rate: 0.001
Output Directory Already Exists
Completed Steps:     1000 || Avg Steps: 1000 || Avg Rew: -0.196
Completed Steps:     2000 || Avg Steps:  987 || Avg Rew: -0.197
Completed Steps:     3000 || Avg Steps:  991 || Avg Rew: -0.194
Completed Steps:     4000 || Avg Steps:  993 || Avg Rew: -0.197
Completed Steps:     5000 || Avg Steps:  975 || Avg Rew: -0.196
Completed Steps:     6000 || Avg Steps:  979 || Avg Rew: -0.197
Completed Steps:     7000 || Avg Steps:  982 || Avg Rew: -0.196
Completed Steps:     8000 || Avg Steps:  972 || Avg Rew: -0.196
Completed Steps:     9000 || Avg Steps:  975 || Avg Rew: -0.195
Completed Steps:    10000 || Avg Steps:  977 || Avg Rew: -0.193
Completed Steps:    11000 || Avg Steps:  980 || Avg Rew: -0.197
Completed Steps:    12000 || Avg Steps:  980 || Avg Rew: -0.196
Completed Steps:    13000 || Avg Steps:  980 || Avg Rew: -0.197
Completed Steps:    14000 || Avg Steps:  980 || Avg Rew: -0.196
Completed Steps:    15000 || Avg Steps:  990 || Avg Rew: -0.196
Completed Steps:    16000 || Avg Steps:  990 || Avg Rew: -0.194
Completed Steps:    17000 || Avg Steps:  990 || Avg Rew: -0.196
Completed Steps:    18000 || Avg Steps:  990 || Avg Rew: -0.196
Completed Steps:    19000 || Avg Steps:  990 || Avg Rew: -0.197
Completed Steps:    20000 || Avg Steps:  990 || Avg Rew: -0.194
Completed Steps:    21000 || Avg Steps:  980 || Avg Rew: -0.196
Completed Steps:    22000 || Avg Steps:  980 || Avg Rew: -0.197
Completed Steps:    23000 || Avg Steps:  980 || Avg Rew: -0.198
Completed Steps:    24000 || Avg Steps:  980 || Avg Rew: -0.199
Completed Steps:    25000 || Avg Steps:  980 || Avg Rew: -0.197
Completed Steps:    26000 || Avg Steps:  980 || Avg Rew: -0.198
Completed Steps:    27000 || Avg Steps:  980 || Avg Rew: -0.198
Completed Steps:    28000 || Avg Steps:  990 || Avg Rew: -0.199
Completed Steps:    29000 || Avg Steps:  990 || Avg Rew: -0.196
Completed Steps:    30000 || Avg Steps:  990 || Avg Rew: -0.198
Completed Steps:    31000 || Avg Steps: 1000 || Avg Rew: -0.196
Completed Steps:    32000 || Avg Steps: 1000 || Avg Rew: -0.197
Completed Steps:    33000 || Avg Steps:  990 || Avg Rew: -0.196
Completed Steps:    34000 || Avg Steps:  990 || Avg Rew: -0.197
Completed Steps:    35000 || Avg Steps:  990 || Avg Rew: -0.198
Completed Steps:    36000 || Avg Steps:  990 || Avg Rew: -0.198
Completed Steps:    37000 || Avg Steps:  990 || Avg Rew: -0.198
Completed Steps:    38000 || Avg Steps:  990 || Avg Rew: -0.198
Completed Steps:    39000 || Avg Steps:  990 || Avg Rew: -0.198
Completed Steps:    40000 || Avg Steps:  990 || Avg Rew: -0.199
Completed Steps:    41000 || Avg Steps:  990 || Avg Rew: -0.198
Completed Steps:    42000 || Avg Steps:  990 || Avg Rew: -0.195
Completed Steps:    43000 || Avg Steps: 1000 || Avg Rew: -0.199
Completed Steps:    44000 || Avg Steps: 1000 || Avg Rew: -0.197
Completed Steps:    45000 || Avg Steps: 1000 || Avg Rew: -0.199
Completed Steps:    46000 || Avg Steps: 1000 || Avg Rew: -0.197
Completed Steps:    47000 || Avg Steps: 1000 || Avg Rew: -0.196
Completed Steps:    48000 || Avg Steps:  990 || Avg Rew: -0.197
Completed Steps:    49000 || Avg Steps:  990 || Avg Rew: -0.199
Completed Steps:    50000 || Avg Steps:  970 || Avg Rew: -0.199
Completed Steps:    51000 || Avg Steps:  970 || Avg Rew: -0.197
Completed Steps:    52000 || Avg Steps:  970 || Avg Rew: -0.197
Completed Steps:    53000 || Avg Steps:  970 || Avg Rew: -0.198
Completed Steps:    54000 || Avg Steps:  970 || Avg Rew: -0.197
Completed Steps:    55000 || Avg Steps:  970 || Avg Rew: -0.198
Completed Steps:    56000 || Avg Steps:  960 || Avg Rew: -0.198
Completed Steps:    57000 || Avg Steps:  960 || Avg Rew: -0.199
Completed Steps:    58000 || Avg Steps:  970 || Avg Rew: -0.197
Completed Steps:    59000 || Avg Steps:  970 || Avg Rew: -0.198
